origin,destination,flow
E02003279,E02003444,1
E02002345,E02002448,1
E02002861,E02005361,7
E02000317,E02005124,1
E02004844,E02000899,1
W02000364,E02004610,1
E02003509,E02003522,43
E02006222,E02001863,5
E02004872,E02000116,1
E02000281,E02000972,32
E02002988,E02000509,1
E02003122,E02003147,103
E02000043,E02004978,3
E02006470,E02006512,3
E02003339,E02003342,9
E02004651,E02003052,3
E02004560,E02006859,3
E02001157,E02001084,4
E02005827,E02002901,2
E02001134,E02001111,33
E02006700,E02001847,4
E02001536,E02003988,1
E02003247,E02005644,1
E02001670,E02003314,2
E02002448,E02006605,1
E02002008,E02002013,20
E02002181,E02002133,9
E02002835,E02006485,1
E02000167,E02003475,4
E02000716,E02000742,2
E02006691,E02003233,3
E02002575,E02003795,3
E02002310,E02002305,56
E02000695,E02000615,4
E02001597,E02002392,1
E02000982,E02000528,5
E02003081,E02003353,1
E02002315,E02002307,18
E02001832,E02000384,1
E02006025,E02003488,1
E02002070,E02002049,5
E02003055,E02003034,50
E02000961,E02000445,2
E02006829,E02006830,12
E02004416,E02000491,1
E02005231,E02005327,6
E02004831,E02004836,48
E02000040,E02000347,2
E02001509,E02000413,1
E02000644,OD0000003,553
E02001948,E02000850,1
E02001950,E02006902,1
E02002604,E02001451,1
E02002458,E02002288,47
E02002108,E02000520,1
E02002132,E02006526,1
E02006374,E02006401,1
E02001829,E02001856,10
E02001374,E02001502,3
E02000341,E02000234,1
E02000501,E02004761,1
E02005310,E02001348,6
E02000350,E02000185,2
E02000238,E02000307,1
E02004790,E02003188,48
E02002627,E02005242,1
E02001323,E02001321,1
E02006578,E02002239,1
E02003321,E02003429,1
E02004378,E02005004,1
E02002065,E02002147,4
E02005826,E02005874,1
E02004635,E02003066,4
E02000278,E02000008,1
E02005309,E02001367,2
E02005369,E02005361,6
E02002904,E02005627,1
E02002568,E02006875,5
E02001636,E02000351,1
E02003447,E02003401,17
E02003539,E02004738,16
E02006303,E02005546,17
E02006279,E02003581,1
W02000411,E02006276,1
E02001818,E02005836,1
E02005833,E02000809,1
E02004100,E02005970,1
E02000029,E02000577,1
E02000382,E02000531,8
E02002074,E02006186,1
E02001533,E02001569,44
E02005900,E02005570,1
E02000602,E02000177,1
E02000096,E02000029,1
E02001164,E02006916,1
E02004247,E02003563,2
E02005214,E02005318,2
E02002961,E02002955,37
W02000108,W02000052,2
E02001376,S92000003,2
E02000156,E02006385,3
E02005489,E02000975,1
E02005824,E02004062,1
E02004727,E02003580,2
E02000861,E02000791,4
E02004098,E02006050,1
E02004531,E02004570,1
E02000154,E02000150,10
E02000166,E02000428,1
E02003224,E02006648,2
E02005284,E02001464,1
E02000546,E02000951,1
E02002344,E02003197,1
E02004035,E02006198,1
E02006471,E02001837,6
E02002380,E02002417,1
E02000532,E02000934,1
E02003680,E02005939,4
E02001161,E02001113,2
W02000017,W02000010,125
E02001388,W02000420,1
E02006384,E02000967,4
E02000534,E02004927,1
E02003260,E02003628,1
E02006285,E02004868,5
E02005856,E02002991,1
E02005173,E02005000,9
E02001362,E02001238,1
E02000163,E02004756,1
E02004707,E02003209,1
E02002291,E02002240,2
E02001407,E02001303,1
E02004154,E02004797,1
E02005478,E02005355,1
E02002946,E02006021,2
E02002703,E02002716,13
E02000769,E02000140,1
E02004645,E02005624,2
E02003739,E02000388,1
E02000326,E02000518,1
E02005557,E02005556,39
E02001312,E02005267,2
E02001636,E02005852,1
E02000074,E02000315,10
E02005160,E02006833,11
E02006123,E02006221,7
E02000292,E02000476,1
E02001011,E02001412,1
E02002816,E02001200,1
E02004536,E02000372,1
E02004910,E02000432,1
E02001073,E02003859,17
E02001647,E02001660,11
E02004346,E02001730,2
E02000445,E02000039,5
E02004036,E02000752,1
E02003404,E02003358,26
E02000211,E02004435,1
E02005673,E02005619,3
E02003351,E02000130,3
E02003094,W02000208,1
E02004320,E02002792,1
E02002421,E02002368,1
E02005336,E02002831,10
E02000917,E02000964,1
E02000976,E02000256,1
E02003820,E02002996,1
E02004748,E02003573,1
E02006910,E02002546,3
E02005777,E02003106,1
E02004723,E02006463,1
E02004594,E02006283,1
E02002424,E02002362,5
E02004789,E02003735,1
E02000038,E02000432,3
E02002947,E02002164,1
E02001882,E02006725,1
E02006784,E02000491,2
E02006777,E02003014,1
E02000043,E02000877,1
E02003374,E02003364,4
E02004501,E02000488,1
E02001648,E02002221,1
E02000605,E02000845,13
E02006152,E02001982,1
E02002934,E02006030,20
E02003382,E02003688,1
E02004667,E02003226,1
E02000828,E02004704,1
E02000855,E02000344,1
E02001975,E02000686,1
W02000151,W02000126,1
E02006454,E02003358,3
E02004985,E02003270,1
E02005431,E02004672,1
E02003953,E02002220,1
E02001881,E02001942,2
E02004574,E02004494,9
E02006829,E02004808,1
E02005939,E02005924,32
E02005155,E02005094,13
E02006672,E02006683,1
E02003287,E02004462,3
E02003869,W02000066,1
E02003410,E02000725,1
E02003114,E02003007,2
E02000516,E02000602,1
E02006578,E02002251,1
E02005953,OD0000001,316
E02004862,E02004897,1
E02000186,E02000184,41
E02001937,E02006769,1
E02000781,E02004733,2
E02003800,E02002592,2
E02000537,E02000790,6
E02002582,E02000998,1
E02000886,E02000245,2
E02004241,E02004756,2
E02000198,E02000509,3
E02006638,E02003224,2
E02004154,E02004195,1
E02000740,E02000971,8
E02003219,E02005983,3
E02006406,E02006802,8
E02000901,E02006433,1
E02003601,E02003731,23
E02002705,E02002715,62
E02001829,E02006138,1
E02006878,E02000191,1
E02004999,E02005149,7
E02003784,E02003475,3
E02000849,E02006343,7
E02006567,E02000630,1
E02002478,E02005794,1
E02001359,E02001454,5
E02004598,E02005098,2
E02000820,E02000802,2
E02002156,E02002015,3
E02001915,E02001886,8
E02001187,OD0000004,4
E02006701,E02001884,4
E02004492,E02004524,2
E02004214,E02003892,1
E02002145,E02002133,26
E02001665,E02001576,1
E02006185,E02006744,2
E02003731,E02004885,2
E02000725,E02003310,5
E02005649,E02005680,4
E02006135,E02004043,1
W02000332,W02000316,1
E02005498,E02002755,5
E02000344,E02003301,1
E02001534,E02002424,2
E02000154,E02000160,13
E02005947,E02000972,3
E02005633,E02000288,1
E02004422,E02003343,1
E02005193,E02001208,1
E02001674,E02005495,4
E02002831,E02005668,1
E02005905,E02005350,1
E02005347,E02005380,2
E02006317,E02000704,11
E02004484,E02003288,42
E02000109,E02000177,2
E02002002,E02000750,1
E02002934,E02003422,1
E02002600,E02001205,1
E02000096,E02006412,1
E02000209,E02000174,2
E02006343,E02006333,10
E02003224,E02003451,1
E02002032,E02001410,1
E02000543,E02006854,34
E02000341,E02000920,4
E02002724,E02005753,3
E02002566,E02001779,2
E02002643,E02006871,1
E02000152,E02000103,1
E02000054,E02003267,1
E02002440,E02002271,1
E02005921,OD0000004,3
E02004602,E02003047,1
E02005230,E02001301,1
E02000738,E02000051,4
E02004036,E02001556,1
E02000239,E02003682,5
W02000339,W02000313,1
E02006273,E02004575,1
E02004073,E02003829,1
E02004856,E02004808,2
E02005932,E02000977,9
E02005966,E02005958,13
E02003387,E02000384,1
E02006069,OD0000004,4
E02002677,E02005444,1
E02002008,E02002908,2
E02002576,E02001235,1
E02002715,E02001636,1
E02000916,E02000740,5
E02002845,E02003448,1
E02003435,E02000522,3
E02001153,E02001179,5
E02000091,E02000230,1
E02000942,E02000145,1
E02005371,E02005389,1
E02004905,E02004890,2
E02006018,E02006905,10
E02001695,E02001699,16
E02001097,E02006147,1
E02002338,E02002199,24
E02003057,E02003039,2
E02000692,E02000400,2
W02000263,W02000258,1
E02000007,E02000700,1
E02002432,E02002458,5
E02003133,E02003898,1
E02000449,E02000029,1
E02006474,E02005399,1
E02005631,E02003622,1
E02005080,E02005168,2
E02006118,E02002969,1
E02006280,E02000391,1
E02000307,E02004946,1
E02003026,E02003023,4
E02003259,OD0000004,4
E02004837,E02004683,6
E02006660,E02003017,2
E02000853,E02004864,1
E02001326,E02001472,2
W02000297,W02000256,3
W02000285,W02000398,70
E02001967,E02001991,26
E02000019,E02003529,1
E02000020,E02000405,1
E02002473,E02002454,281
E02000595,E02004894,1
E02004493,E02000875,2
E02000852,E02006581,1
E02000521,E02002996,1
E02004700,E02004818,1
E02000200,OD0000004,3
E02004466,E02003643,1
E02000628,E02000619,9
E02000305,E02000870,1
